show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s102524,Movie,Title 2525,Director H,Unknown,United States,2011-09-18,2016,TV-MA,80 min,"Documentaries, TV Dramas",A Netflix title used for portfolio analytics.
s102525,Movie,Title 2526,Director H,Unknown,United States,2012-08-17,2000,PG,76 min,"Action & Adventure, Comedies, TV Comedies",A Netflix title used for portfolio analytics.
s102526,Movie,Title 2527,Director E,Unknown,"Australia, Germany",2016-05-13,2007,TV-MA,101 min,Romantic Movies,A Netflix title used for portfolio analytics.
s102527,Movie,Title 2528,Director O,Unknown,Brazil,2008-02-05,2014,TV-14,91 min,TV Dramas,A Netflix title used for portfolio analytics.
s102528,TV Show,Title 2529,Director T,Unknown,Germany,2019-06-28,2007,TV-14,2 Seasons,"Horror Movies, International TV Shows",A Netflix title used for portfolio analytics.
s102529,Movie,Title 2530,Unknown,Unknown,"Japan, Germany",2015-08-17,1983,TV-MA,95 min,International TV Shows,A Netflix title used for portfolio analytics.
s102530,TV Show,Title 2531,Director B,"Actor A, Actor B","Canada, United Kingdom",2016-05-21,1973,TV-MA,4 Seasons,"International TV Shows, Kids' TV",A Netflix title used for portfolio analytics.
s102531,Movie,Title 2532,Director D,"Actor A, Actor B",INDIA,2018-10-26,2001,TV-14,103 min,International TV Shows,A Netflix title used for portfolio analytics.
s102532,TV Show,Title 2533,Director C,"Actor A, Actor B",Japan,2013-01-05,2003,PG-13,5 Seasons,Comedies,A Netflix title used for portfolio analytics.
s102533,Movie,Title 2534,Director F,"Actor A, Actor B",UNITED STATES,2008-11-26,2016,TV-14,126 min,Comedies,A Netflix title used for portfolio analytics.
s102534,TV Show,Title 2535,Director T,"Actor A, Actor B",France,2017-11-06,1994,R,2 Seasons,Action & Adventure,A Netflix title used for portfolio analytics.
s102535,Movie,Title 2536,Unknown,Unknown,France,2018-02-18,2013,R,136 min,Romantic Movies,A Netflix title used for portfolio analytics.
s102536,Movie,Title 2537,Director Z,Unknown,United States,2012-05-13,2001,PG-13,92 min,"TV Comedies, Thrillers",A Netflix title used for portfolio analytics.
s102537,Movie,Title 2538,Unknown,Unknown,"United States, Italy",2017-06-26,1993,PG-13,114 min,TV Dramas,A Netflix title used for portfolio analytics.
s102538,Movie,Title 2539,Director Y,Unknown,Canada,2019-07-31,1993,R,103 min,International Movies,A Netflix title used for portfolio analytics.
s102539,Movie,Title 2540,Unknown,"Actor A, Actor B",United States,2012-09-09,2006,PG-13,94 min,TV Dramas,A Netflix title used for portfolio analytics.
s102540,Movie,Title 2541,Unknown,Unknown,"Mexico, Thailand",2008-08-07,1984,TV-MA,60 min,International TV Shows,A Netflix title used for portfolio analytics.
s102541,Movie,Title 2542,Unknown,"Actor A, Actor B",Australia,,2009,TV-MA,110 min,"Comedies, Horror Movies, TV Dramas",A Netflix title used for portfolio analytics.
s102542,TV Show,Title 2543,Director H,Unknown,United States,2018-02-28,2006,NR,7 Seasons,Kids' TV,A Netflix title used for portfolio analytics.
s102543,Movie,Title 2544,Unknown,Unknown,United States,2020-11-12,1993,TV-PG,93 min,Kids' TV,A Netflix title used for portfolio analytics.
s102544,Movie,Title 2545,Director R,Unknown,United States,2015-03-04,2000,TV-MA,141 min,"Documentaries, Stand-Up Comedy, TV Comedies",A Netflix title used for portfolio analytics.
s102545,Movie,Title 2546,Unknown,"Actor A, Actor B",United Kingdom,2008-04-07,2008,TV-MA,126 min,Horror Movies,A Netflix title used for portfolio analytics.
s102546,TV Show,Title 2547,Director B,Unknown,United States,2017-04-10,2004,TV-MA,4 Seasons,"Comedies, Horror Movies",A Netflix title used for portfolio analytics.
s102547,Movie,Title 2548,Unknown,Unknown,India,2015-02-11,2008,TV-14,92 min,"Action & Adventure, International Movies",A Netflix title used for portfolio analytics.
s102548,Movie,Title 2549,Director Z,"Actor A, Actor B",Spain,2019-02-17,1981,TV-14,103 min,"Documentaries, TV Comedies, TV Dramas",A Netflix title used for portfolio analytics.
s102549,Movie,Title 2550,Unknown,"Actor A, Actor B","United States, Japan",2020-07-10,2014,R,67 min,"Documentaries, Romantic Movies, Thrillers",A Netflix title used for portfolio analytics.
s102550,TV Show,Title 2551,Unknown,Unknown,United States,2019-02-19,1994,R,7 Seasons,Comedies,A Netflix title used for portfolio analytics.
s102551,Movie,Title 2552,Unknown,Unknown,United States,2017-02-04,2018,TV-14,101 min,Romantic Movies,A Netflix title used for portfolio analytics.
s102552,TV Show,Title 2553,Unknown,"Actor A, Actor B",United States,2013-07-30,2008,TV-14,2 Seasons,"Horror Movies, TV Dramas",A Netflix title used for portfolio analytics.
s102553,Movie,Title 2554,Director R,"Actor A, Actor B",United Kingdom,2011-04-19,1986,TV-MA,77 min,"Documentaries, Stand-Up Comedy",A Netflix title used for portfolio analytics.
s102554,TV Show,Title 2555,Director G,Unknown,United States,2011-05-23,2005,TV-MA,3 Seasons,TV Comedies,A Netflix title used for portfolio analytics.
s102555,Movie,Title 2556,Unknown,Unknown,United States,2010-11-29,1996,PG,84 min,Romantic Movies,A Netflix title used for portfolio analytics.
s102556,Movie,Title 2557,Director R,"Actor A, Actor B",United States,2013-07-21,2000,TV-MA,70 min,TV Comedies,A Netflix title used for portfolio analytics.
s102557,Movie,Title 2558,Unknown,Unknown,United States,2017-11-08,2004,TV-MA,111 min,Romantic Movies,A Netflix title used for portfolio analytics.
s102558,TV Show,Title 2559,Unknown,Unknown,United States,2012-02-06,2002,TV-Y7,6 Seasons,TV Dramas,A Netflix title used for portfolio analytics.
s102559,Movie,Title 2560,Unknown,Unknown,Australia,2016-08-07,2001,TV-14,87 min,"Action & Adventure, Comedies, International Movies",A Netflix title used for portfolio analytics.
s102560,Movie,Title 2561,Director G,Unknown,Turkey,2019-01-10,2009,UR,61 min,Dramas,A Netflix title used for portfolio analytics.
s102561,Movie,Title 2562,Unknown,Unknown,United States,2020-07-02,1982,TV-14,117 min,"Documentaries, Kids' TV",A Netflix title used for portfolio analytics.
s102562,Movie,Title 2563,Unknown,Unknown,United States,2008-04-23,1990,R,99 min,Action & Adventure,A Netflix title used for portfolio analytics.
s102563,Movie,Title 2564,Unknown,Unknown,"Italy, Australia",2018-12-04,1999,TV-14,113 min,International Movies,A Netflix title used for portfolio analytics.
s102564,Movie,Title 2565,Unknown,Unknown,"United Kingdom, Japan",2010-07-06,2012,TV-MA,111 min,"International Movies, Kids' TV",A Netflix title used for portfolio analytics.
s102565,TV Show,Title 2566,Unknown,Unknown,United States,2009-04-03,2016,TV-14,3 Seasons,Documentaries,A Netflix title used for portfolio analytics.
s102566,Movie,Title 2567,Unknown,Unknown,Turkey,2020-11-06,1982,TV-14,119 min,International TV Shows,A Netflix title used for portfolio analytics.
s102567,Movie,Title 2568,Director Z,Unknown,"Germany, Australia",2010-11-23,2000,TV-MA,116 min,Action & Adventure,A Netflix title used for portfolio analytics.
s102568,Movie,Title 2569,Director Z,"Actor A, Actor B",Nigeria,2011-05-11,2002,PG-13,59 min,TV Comedies,A Netflix title used for portfolio analytics.
s102569,Movie,Title 2570,Director M,"Actor A, Actor B",United States,2014-01-03,1991,TV-MA,140 min,Documentaries,A Netflix title used for portfolio analytics.
s102570,Movie,Title 2571,Unknown,"Actor A, Actor B",THAILAND,2009-04-07,2007,TV-MA,63 min,"Dramas, Romantic Movies",A Netflix title used for portfolio analytics.
s102571,Movie,Title 2572,Director Q,"Actor A, Actor B","Germany, France",2010-10-15,2013,R,92 min,Documentaries,A Netflix title used for portfolio analytics.
s102572,Movie,Title 2573,Director F,"Actor A, Actor B",Australia,2011-12-16,1998,TV-MA,91 min,Romantic Movies,A Netflix title used for portfolio analytics.
s102573,Movie,Title 2574,Unknown,Unknown,United States,2009-08-26,2008,TV-MA,91 min,Dramas,A Netflix title used for portfolio analytics.
s102574,TV Show,Title 2575,Unknown,Unknown,India,2012-06-04,1991,TV-MA,5 Seasons,"Horror Movies, TV Dramas",A Netflix title used for portfolio analytics.
s102575,TV Show,Title 2576,Unknown,Unknown,"United States, Thailand",2013-04-08,2005,TV-14,4 Seasons,Dramas,A Netflix title used for portfolio analytics.
s102576,TV Show,Title 2577,Unknown,Unknown,United States,2016-11-21,2012,TV-MA,2 Seasons,Comedies,A Netflix title used for portfolio analytics.
s102577,Movie,Title 2578,Director C,"Actor A, Actor B","Canada, United States",2019-01-08,2016,TV-MA,121 min,"Dramas, Horror Movies, Thrillers",A Netflix title used for portfolio analytics.
s102578,Movie,Title 2579,Unknown,Unknown,India,2015-08-07,2014,TV-MA,50 min,Dramas,A Netflix title used for portfolio analytics.
s102579,Movie,Title 2580,Unknown,Unknown,Germany,2017-03-19,2007,TV-14,111 min,"Comedies, Documentaries",A Netflix title used for portfolio analytics.
s102580,Movie,Title 2581,Unknown,Unknown,United Kingdom,2009-11-06,2014,TV-14,82 min,TV Dramas,A Netflix title used for portfolio analytics.
s102581,Movie,Title 2582,Unknown,Unknown,India,2018-03-22,1999,TV-MA,70 min,"International TV Shows, TV Comedies",A Netflix title used for portfolio analytics.
s102582,Movie,Title 2583,Unknown,Unknown,Thailand,2017-02-13,1982,R,67 min,"Horror Movies, TV Dramas",A Netflix title used for portfolio analytics.
s102583,Movie,Title 2584,Director C,Unknown,Mexico,2012-06-03,2005,TV-14,126 min,International Movies,A Netflix title used for portfolio analytics.
s102584,Movie,Title 2585,Director J,Unknown,Germany,2016-10-06,2015,TV-MA,126 min,International TV Shows,A Netflix title used for portfolio analytics.
s102585,Movie,Title 2586,Unknown,Unknown,"South Korea, Japan",2008-06-28,1996,NR,99 min,Thrillers,A Netflix title used for portfolio analytics.
s102586,TV Show,Title 2587,Unknown,Unknown,Turkey,2010-02-14,2013,TV-MA,2 Seasons,"International TV Shows, Thrillers",A Netflix title used for portfolio analytics.
s102587,Movie,Title 2588,Director R,Unknown,United States,2015-03-04,1992,R,105 min,Romantic Movies,A Netflix title used for portfolio analytics.
s102588,TV Show,Title 2589,Director L,Unknown,United Kingdom,2020-10-09,1992,TV-MA,,Documentaries,A Netflix title used for portfolio analytics.
s102589,TV Show,Title 2590,Director G,Unknown,"United States, India",2020-02-09,1982,TV-14,3 Seasons,Kids' TV,A Netflix title used for portfolio analytics.
s102590,Movie,Title 2591,Director N,"Actor A, Actor B",Thailand,2016-08-21,1983,TV-G,79 min,Romantic Movies,A Netflix title used for portfolio analytics.
s102591,TV Show,Title 2592,Director Z,Unknown,United States,2016-11-16,2008,TV-MA,2 Seasons,Documentaries,A Netflix title used for portfolio analytics.
s102592,TV Show,Title 2593,Unknown,Unknown,India,2017-04-04,2004,NR,5 Seasons,Dramas,A Netflix title used for portfolio analytics.
s102593,TV Show,Title 2594,Director Q,Unknown,United States,2018-02-25,2001,TV-14,3 Seasons,"Documentaries, International Movies",A Netflix title used for portfolio analytics.
s102594,TV Show,Title 2595,Unknown,Unknown,Thailand,2016-10-19,1995,R,3 Seasons,Thrillers,A Netflix title used for portfolio analytics.
s102595,Movie,Title 2596,Unknown,Unknown,United Kingdom,2016-04-08,2014,TV-MA,116 min,TV Dramas,A Netflix title used for portfolio analytics.
s102596,Movie,Title 2597,Director W,"Actor A, Actor B",Nigeria,2020-06-12,1993,TV-PG,44 min,Dramas,A Netflix title used for portfolio analytics.
s102597,Movie,Title 2598,Unknown,"Actor A, Actor B",United Kingdom,2013-09-01,2011,PG,97 min,International Movies,A Netflix title used for portfolio analytics.
s102598,Movie,Title 2599,Director R,"Actor A, Actor B",Canada,2019-12-12,1985,TV-PG,145 min,"International Movies, TV Dramas",A Netflix title used for portfolio analytics.
s102599,Movie,Title 2600,Unknown,"Actor A, Actor B",United Kingdom,2014-11-22,1989,TV-14,107 min,Comedies,A Netflix title used for portfolio analytics.
s102600,Movie,Title 2601,Unknown,Unknown,United States,2019-10-01,2009,TV-G,91 min,"Documentaries, Horror Movies, International Movies",A Netflix title used for portfolio analytics.
s102601,TV Show,Title 2602,Director Z,Unknown,Brazil,2017-08-13,2008,TV-MA,5 Seasons,"Action & Adventure, Documentaries",A Netflix title used for portfolio analytics.
s102602,Movie,Title 2603,Unknown,"Actor A, Actor B",United States,2015-04-07,1986,PG-13,73 min,Action & Adventure,A Netflix title used for portfolio analytics.
s102603,Movie,Title 2604,Director K,"Actor A, Actor B",Canada,2009-05-14,1986,TV-PG,123 min,Dramas,A Netflix title used for portfolio analytics.
s102604,Movie,Title 2605,Unknown,Unknown,Australia,2011-04-19,2017,TV-14,117 min,Documentaries,A Netflix title used for portfolio analytics.
s102605,Movie,Title 2606,Unknown,Unknown,"France, India",2012-12-23,2011,TV-MA,109 min,Action & Adventure,A Netflix title used for portfolio analytics.
s102606,TV Show,Title 2607,Unknown,Unknown,Nigeria,2011-09-18,2009,PG-13,6 Seasons,"Comedies, Dramas, International Movies",A Netflix title used for portfolio analytics.
s102607,Movie,Title 2608,Director Y,Unknown,United States,2009-01-10,2000,TV-14,56 min,Thrillers,A Netflix title used for portfolio analytics.
s102608,Movie,Title 2609,Director N,Unknown,India,2011-02-07,2012,NR,,"International Movies, TV Dramas",A Netflix title used for portfolio analytics.
s102609,Movie,Title 2610,Director Z,Unknown,Australia,2014-08-27,1991,TV-Y,96 min,TV Comedies,A Netflix title used for portfolio analytics.
s102610,Movie,Title 2611,Unknown,Unknown,UNITED KINGDOM,2019-06-26,2005,TV-MA,,TV Comedies,A Netflix title used for portfolio analytics.
s102611,Movie,Title 2612,Unknown,Unknown,United States,2013-01-01,2010,PG-13,87 min,International Movies,A Netflix title used for portfolio analytics.
s102612,Movie,Title 2613,Unknown,Unknown,United Kingdom,2018-06-20,2016,TV-PG,74 min,"Kids' TV, Thrillers",A Netflix title used for portfolio analytics.
s102613,Movie,Title 2614,Director W,"Actor A, Actor B",United States,2011-06-23,2012,PG-13,93 min,"Comedies, Documentaries",A Netflix title used for portfolio analytics.
s102614,Movie,Title 2615,Director S,"Actor A, Actor B",United States,2018-01-08,1992,TV-MA,106 min,"Horror Movies, International TV Shows",A Netflix title used for portfolio analytics.
s102615,Movie,Title 2616,Director Y,"Actor A, Actor B",Canada,2015-01-19,1992,PG-13,109 min,Action & Adventure,A Netflix title used for portfolio analytics.
s102616,Movie,Title 2617,Unknown,"Actor A, Actor B",Canada,2020-01-30,1998,TV-MA,74 min,Action & Adventure,A Netflix title used for portfolio analytics.
s102617,TV Show,Title 2618,Unknown,Unknown,Australia,2008-08-25,2012,NR,4 Seasons,Dramas,A Netflix title used for portfolio analytics.
s102618,Movie,Title 2619,Director W,Unknown,Mexico,2020-03-19,1992,R,88 min,"Action & Adventure, Thrillers",A Netflix title used for portfolio analytics.
s102619,TV Show,Title 2620,Director H,Unknown,"United States, Spain",2013-02-19,2002,TV-MA,3 Seasons,"Dramas, Horror Movies, TV Dramas",A Netflix title used for portfolio analytics.
s102620,TV Show,Title 2621,Director U,Unknown,"United States, Turkey",2017-06-28,1990,TV-14,4 Seasons,"International Movies, TV Comedies",A Netflix title used for portfolio analytics.
s102621,TV Show,Title 2622,Unknown,"Actor A, Actor B",India,2009-03-13,1978,R,6 Seasons,"Comedies, Horror Movies, International Movies",A Netflix title used for portfolio analytics.
s102622,Movie,Title 2623,Director O,Unknown,"Mexico, Thailand",2009-01-10,1987,TV-14,82 min,"Dramas, Romantic Movies",A Netflix title used for portfolio analytics.
s102623,Movie,Title 2624,Unknown,Unknown,"United States, South Korea",2015-07-23,2006,TV-14,91 min,"TV Comedies, TV Dramas",A Netflix title used for portfolio analytics.
s102624,TV Show,Title 2625,Unknown,Unknown,"United Kingdom, South Korea",2013-08-23,1986,TV-MA,2 Seasons,Romantic Movies,A Netflix title used for portfolio analytics.
s102625,TV Show,Title 2626,Director G,Unknown,INDIA,2019-06-29,1993,TV-14,4 Seasons,International TV Shows,A Netflix title used for portfolio analytics.
s102626,Movie,Title 2627,Director B,"Actor A, Actor B",United States,2015-09-02,1982,R,77 min,"Documentaries, International Movies, International TV Shows",A Netflix title used for portfolio analytics.
s102627,Movie,Title 2628,Unknown,"Actor A, Actor B",India,2015-07-14,2003,TV-MA,110 min,Thrillers,A Netflix title used for portfolio analytics.
s102628,Movie,Title 2629,Unknown,Unknown,,2008-12-05,2015,TV-MA,97 min,"Romantic Movies, Stand-Up Comedy",A Netflix title used for portfolio analytics.
s102629,Movie,Title 2630,Director L,"Actor A, Actor B",United States,2014-03-17,2001,PG-13,99 min,TV Comedies,A Netflix title used for portfolio analytics.
s102630,Movie,Title 2631,Director H,Unknown,Canada,2020-09-06,2017,TV-14,101 min,Romantic Movies,A Netflix title used for portfolio analytics.
s102631,Movie,Title 2632,Director I,Unknown,"India, Australia",2011-06-18,2014,TV-14,85 min,Comedies,A Netflix title used for portfolio analytics.
s102632,Movie,Title 2633,Unknown,"Actor A, Actor B",United States,2018-10-10,2011,TV-MA,81 min,"Horror Movies, Kids' TV",A Netflix title used for portfolio analytics.
s102633,Movie,Title 2634,Director O,"Actor A, Actor B",United Kingdom,2010-12-09,2014,TV-14,83 min,TV Dramas,A Netflix title used for portfolio analytics.
s102634,TV Show,Title 2635,Unknown,"Actor A, Actor B",United States,2010-05-03,1995,PG-13,6 Seasons,International Movies,A Netflix title used for portfolio analytics.
s102635,Movie,Title 2636,Unknown,Unknown,United States,2016-09-13,2007,TV-14,77 min,TV Dramas,A Netflix title used for portfolio analytics.
s102636,TV Show,Title 2637,Director R,"Actor A, Actor B",United States,2020-08-31,2015,TV-G,4 Seasons,"Comedies, Kids' TV, Thrillers",A Netflix title used for portfolio analytics.
s102637,Movie,Title 2638,Unknown,"Actor A, Actor B",France,2015-07-27,1991,TV-MA,60 min,Horror Movies,A Netflix title used for portfolio analytics.
s102638,Movie,Title 2639,Unknown,Unknown,United States,2014-07-19,2016,TV-MA,139 min,International TV Shows,A Netflix title used for portfolio analytics.
s102639,Movie,Title 2640,Director Y,"Actor A, Actor B","Nigeria, Thailand",2016-01-27,2010,TV-14,85 min,"International Movies, Kids' TV, Stand-Up Comedy, TV Dramas",A Netflix title used for portfolio analytics.
s102640,TV Show,Title 2641,Unknown,"Actor A, Actor B",India,2019-12-17,2015,TV-G,3 Seasons,"Action & Adventure, Thrillers",A Netflix title used for portfolio analytics.
s102641,TV Show,Title 2642,Unknown,Unknown,UNITED STATES,2015-01-01,1977,TV-Y,7 Seasons,Romantic Movies,A Netflix title used for portfolio analytics.
s102642,TV Show,Title 2643,Unknown,Unknown,"United Kingdom, Mexico",2008-12-30,2018,TV-14,,TV Dramas,A Netflix title used for portfolio analytics.
s102643,TV Show,Title 2644,Unknown,"Actor A, Actor B",United States,2018-01-23,1987,TV-MA,4 Seasons,"Documentaries, TV Dramas",A Netflix title used for portfolio analytics.
s102644,Movie,Title 2645,Director C,"Actor A, Actor B",United States,2015-06-21,1988,TV-14,117 min,"Comedies, Dramas, Stand-Up Comedy",A Netflix title used for portfolio analytics.
s102645,Movie,Title 2646,Unknown,"Actor A, Actor B",United Kingdom,2014-07-18,2015,TV-MA,97 min,Thrillers,A Netflix title used for portfolio analytics.
s102646,Movie,Title 2647,Unknown,"Actor A, Actor B",India,2012-12-14,2007,G,54 min,Dramas,A Netflix title used for portfolio analytics.
s102647,Movie,Title 2648,Director E,"Actor A, Actor B",United States,2015-11-03,1992,UR,104 min,Kids' TV,A Netflix title used for portfolio analytics.
s102648,TV Show,Title 2649,Director N,Unknown,India,2014-09-27,2011,PG-13,5 Seasons,Thrillers,A Netflix title used for portfolio analytics.
s102649,Movie,Title 2650,Unknown,"Actor A, Actor B",United States,2019-12-18,1985,TV-PG,107 min,Dramas,A Netflix title used for portfolio analytics.
s102650,TV Show,Title 2651,Director W,Unknown,"United States, Thailand",2016-12-24,2007,PG-13,2 Seasons,Action & Adventure,A Netflix title used for portfolio analytics.
s102651,Movie,Title 2652,Director V,Unknown,India,2010-07-06,2011,PG-13,94 min,Romantic Movies,A Netflix title used for portfolio analytics.
s102652,Movie,Title 2653,Unknown,"Actor A, Actor B",United States,2017-01-14,1984,TV-G,110 min,TV Comedies,A Netflix title used for portfolio analytics.
s102653,Movie,Title 2654,Unknown,Unknown,United States,2019-09-14,2003,PG-13,91 min,"Kids' TV, Stand-Up Comedy",A Netflix title used for portfolio analytics.
s102654,TV Show,Title 2655,Unknown,Unknown,United States,2009-08-02,1999,R,7 Seasons,Romantic Movies,A Netflix title used for portfolio analytics.
s102655,TV Show,Title 2656,Director N,Unknown,India,2019-01-24,2006,TV-14,7 Seasons,Action & Adventure,A Netflix title used for portfolio analytics.
s102656,TV Show,Title 2657,Unknown,Unknown,Canada,2013-08-17,2016,R,4 Seasons,"International TV Shows, TV Dramas",A Netflix title used for portfolio analytics.
s102657,TV Show,Title 2658,Director B,Unknown,France,2008-12-20,1977,TV-Y7,3 Seasons,"Horror Movies, International TV Shows",A Netflix title used for portfolio analytics.
s102658,Movie,Title 2659,Director E,Unknown,United States,2013-05-02,2001,TV-MA,114 min,"Horror Movies, Romantic Movies",A Netflix title used for portfolio analytics.
s102659,Movie,Title 2660,Unknown,"Actor A, Actor B","France, United Kingdom",2019-02-10,2003,UR,,Horror Movies,A Netflix title used for portfolio analytics.
s102660,Movie,Title 2661,Director G,"Actor A, Actor B",United States,2011-08-06,1972,TV-MA,64 min,Documentaries,A Netflix title used for portfolio analytics.
s102661,Movie,Title 2662,Director C,"Actor A, Actor B",Canada,2010-12-10,2001,R,100 min,Action & Adventure,A Netflix title used for portfolio analytics.
s102662,Movie,Title 2663,Unknown,Unknown,,2017-12-30,1985,PG,55 min,"Documentaries, TV Comedies",A Netflix title used for portfolio analytics.
s102663,Movie,Title 2664,Unknown,Unknown,United States,2018-01-03,2001,G,111 min,"International TV Shows, TV Dramas",A Netflix title used for portfolio analytics.
s102664,Movie,Title 2665,Unknown,Unknown,United States,2019-12-26,1991,TV-MA,84 min,Horror Movies,A Netflix title used for portfolio analytics.
s102665,Movie,Title 2666,Director S,Unknown,India,2008-03-22,1998,TV-14,70 min,Romantic Movies,A Netflix title used for portfolio analytics.
s102666,TV Show,Title 2667,Unknown,Unknown,India,2008-03-21,2018,TV-MA,2 Seasons,Kids' TV,A Netflix title used for portfolio analytics.
s102667,Movie,Title 2668,Unknown,Unknown,NIGERIA,2019-08-23,1994,TV-MA,87 min,Dramas,A Netflix title used for portfolio analytics.
s102668,Movie,Title 2669,Unknown,Unknown,"United States, Italy",2015-09-24,2006,TV-PG,78 min,"Documentaries, International TV Shows",A Netflix title used for portfolio analytics.
s102669,Movie,Title 2670,Director J,Unknown,"United States, Italy",2015-05-15,2009,TV-14,53 min,TV Dramas,A Netflix title used for portfolio analytics.
s102670,TV Show,Title 2671,Director O,"Actor A, Actor B",Canada,2010-06-23,1993,R,3 Seasons,"Kids' TV, Thrillers",A Netflix title used for portfolio analytics.
s102671,Movie,Title 2672,Director Z,Unknown,United States,2011-10-31,2013,TV-MA,52 min,Comedies,A Netflix title used for portfolio analytics.
s102672,TV Show,Title 2673,Unknown,"Actor A, Actor B",United States,2016-11-29,2003,TV-MA,5 Seasons,Romantic Movies,A Netflix title used for portfolio analytics.
s102673,Movie,Title 2674,Unknown,"Actor A, Actor B",Mexico,2015-03-10,2017,NR,54 min,TV Comedies,A Netflix title used for portfolio analytics.
s102674,TV Show,Title 2675,Director Z,Unknown,SPAIN,2016-09-26,1994,TV-PG,6 Seasons,Kids' TV,A Netflix title used for portfolio analytics.
s102675,Movie,Title 2676,Director A,"Actor A, Actor B",United States,2018-12-14,2002,NR,49 min,Dramas,A Netflix title used for portfolio analytics.
s102676,TV Show,Title 2677,Unknown,Unknown,Mexico,2020-10-07,1973,PG,1 Season,Dramas,A Netflix title used for portfolio analytics.
s102677,Movie,Title 2678,Unknown,Unknown,SPAIN,2013-03-28,2009,TV-14,83 min,Dramas,A Netflix title used for portfolio analytics.
s102678,Movie,Title 2679,Unknown,Unknown,United States,2010-02-20,2001,TV-G,133 min,Kids' TV,A Netflix title used for portfolio analytics.
s102679,TV Show,Title 2680,Director X,Unknown,United States,2012-11-19,2004,TV-14,3 Seasons,"Dramas, International TV Shows",A Netflix title used for portfolio analytics.
s102680,Movie,Title 2681,Director E,Unknown,Brazil,2016-07-09,1988,TV-MA,94 min,"International TV Shows, Romantic Movies",A Netflix title used for portfolio analytics.
s102681,TV Show,Title 2682,Unknown,Unknown,United States,2019-08-23,2017,TV-MA,3 Seasons,"Action & Adventure, Thrillers",A Netflix title used for portfolio analytics.
s102682,TV Show,Title 2683,Unknown,"Actor A, Actor B",Spain,2009-02-24,2001,R,2 Seasons,"International TV Shows, TV Dramas",A Netflix title used for portfolio analytics.
s102683,TV Show,Title 2684,Unknown,Unknown,Japan,2015-05-17,2003,TV-14,5 Seasons,Romantic Movies,A Netflix title used for portfolio analytics.
s102684,TV Show,Title 2685,Director A,"Actor A, Actor B",United States,2018-02-15,1993,TV-14,3 Seasons,Horror Movies,A Netflix title used for portfolio analytics.
s102685,Movie,Title 2686,Unknown,Unknown,Germany,2013-03-26,1972,TV-14,106 min,TV Dramas,A Netflix title used for portfolio analytics.
s102686,TV Show,Title 2687,Unknown,Unknown,United States,2013-10-29,2015,TV-MA,4 Seasons,Kids' TV,A Netflix title used for portfolio analytics.
s102687,Movie,Title 2688,Director S,"Actor A, Actor B",India,2016-09-22,2012,TV-MA,83 min,Action & Adventure,A Netflix title used for portfolio analytics.
s102688,TV Show,Title 2689,Unknown,"Actor A, Actor B",Italy,2011-08-27,1996,NR,4 Seasons,Dramas,A Netflix title used for portfolio analytics.
s102689,TV Show,Title 2690,Unknown,Unknown,United States,2017-06-15,2008,TV-14,3 Seasons,Documentaries,A Netflix title used for portfolio analytics.
s102690,TV Show,Title 2691,Director H,Unknown,United States,2014-09-22,2009,TV-G,4 Seasons,Comedies,A Netflix title used for portfolio analytics.
s102691,TV Show,Title 2692,Unknown,Unknown,Germany,2017-11-28,2007,TV-14,6 Seasons,International Movies,A Netflix title used for portfolio analytics.
s102692,Movie,Title 2693,Unknown,Unknown,"Japan, Australia",2014-01-07,1991,TV-MA,53 min,International TV Shows,A Netflix title used for portfolio analytics.
s102693,TV Show,Title 2694,Director A,"Actor A, Actor B",United States,2008-07-18,1997,TV-14,6 Seasons,"Comedies, International Movies",A Netflix title used for portfolio analytics.
s102694,Movie,Title 2695,Unknown,"Actor A, Actor B","India, Thailand",2020-03-25,1993,PG,145 min,TV Comedies,A Netflix title used for portfolio analytics.
s102695,Movie,Title 2696,Director S,Unknown,"Nigeria, South Korea",2018-03-16,1992,TV-MA,89 min,Documentaries,A Netflix title used for portfolio analytics.
s102696,TV Show,Title 2697,Unknown,Unknown,India,2014-08-26,1995,PG,5 Seasons,"Action & Adventure, Documentaries",A Netflix title used for portfolio analytics.
s102697,Movie,Title 2698,Unknown,"Actor A, Actor B","United States, Spain",2009-11-30,2013,TV-14,117 min,"Action & Adventure, Comedies, Horror Movies",A Netflix title used for portfolio analytics.
s102698,Movie,Title 2699,Director D,"Actor A, Actor B",United States,2020-09-23,2000,TV-MA,96 min,TV Dramas,A Netflix title used for portfolio analytics.
s102699,Movie,Title 2700,Unknown,"Actor A, Actor B",United States,2014-12-11,2018,TV-G,91 min,Horror Movies,A Netflix title used for portfolio analytics.
s102700,Movie,Title 2701,Director Y,Unknown,Spain,2014-12-15,2004,TV-14,109 min,TV Dramas,A Netflix title used for portfolio analytics.
s102701,Movie,Title 2702,Director X,"Actor A, Actor B",Spain,2018-04-11,1986,TV-MA,48 min,Action & Adventure,A Netflix title used for portfolio analytics.
s102702,Movie,Title 2703,Director O,Unknown,"United States, Spain",2014-11-09,2018,TV-PG,75 min,Dramas,A Netflix title used for portfolio analytics.
s102703,Movie,Title 2704,Director K,Unknown,Mexico,2014-06-13,1997,PG,104 min,Thrillers,A Netflix title used for portfolio analytics.
